Wallet,First TX date,Total TXs,Total Data,Total NFTs,Total cost of TXs
RT304gFp45Sj736lAfaZIDXPXU0ezdOBzgUQ5U2sdQs,2021-2-11,2,1114644260,1,0.0006350317920000001
T-OXHkBOm4nalfGzkJ7pqqO9qZXMEX1CUv8SmYQFSi4,2021-3-5,2,1113818392,1,0.000117708076
5mgrSBNCgkxHL8hiMbyFGqval-YvugdLn7cpDieVUeQ,2021-2-11,2,1113744363,1,0.000071336311
jz_l7A8nvuHrZc6qkAO6KBz8l1mC954d39mKtmcVKK8,2021-2-11,2,1113740509,1,0.00006892216499999999
C1Cq3UtlPd-bBDfwv14gHs6n1r3VOY_QZnMpXHLdFbc,2021-2-11,1,98807,1,0.000063903448
0UOwVZMh6v1GXD8uKXm8tliNBtCwRlbOctX_Mf6o7z0,2021-2-11,3,1113772166,2,0.00009076285299999999
1VwxYPLG2ggUnDP0aFtL-NMnZ9Kc7uFrH8MzfL48Bd0,2020-12-1,2,1119581265,1,0.003727571724
-s-a7FOUEY-TevbM2_sHUvUf15JNHL__lTszDfDzexE,2021-2-11,3,1113811951,2,0.00011568417700000001
LRZnB5-GMxnSLkxJHRhGHrBmqaoJdoz_cg1Rlp8KWmM,2020-8-3,3,1130111415,2,0.010325668427000001
iyAUJYIvrgUKyZ8WOka8C95TfumT0ah5X4_w4ZG0zpY,2020-6-11,4,1159179023,3,0.000034928688
NZN68kFYt9YPTB8E2tVUX1nvNUytBQdpgrfKkfSONU8,2020-6-11,4,1159167868,2,0.000027941196
JyFMBiIYEpl6OEOytsH9aSz9SLcauClnXpw56_hxyxE,2020-6-11,2,1159150409,1,0.000012983392
VYqtfnCXfiy-vFkIeECSlIkiiGdSCajZ_8AyLS-IIAI,2020-7-20,5,1159304394,3,0.00012022683000000001
7m_hUMRTOe2uWJqFFcf1qTZWS4SjsFRwUxg0p3AyIvA,2020-7-20,3,1159220248,1,0.000063496288
R1fzPiDAvHuUNh93E89rdL4sTsmdhN2O-nKyzYSoQzE,2020-7-20,5,1159304394,3,0.00012022683
Nczt43TWPGvJCryQ8mNXEJnpTc-jCabayM4bsp1im_k,2020-7-20,3,1159220248,2,0.000058741286
NJPAVO2zdwfaJWIzXgJrnxrsQi5rWyPRIjLYsiuj05c,2020-7-20,4,1159262321,1,0.000091860933
xC2lHGxVhFTekOlM5IobtgyjmfQI5g7hIm5yHnQyhTw,2021-3-18,45,18588252,34,0.011988548142
iVrcWoEtSf5jvI5Epvcjie6AjgINP-bOlWKPiLdGASQ,2021-3-22,2,1137072591,1,0.011403468554
OCQfp7mVo0j0OygBdv7S8kwwAbhQr6dsZAY7DkEKcAw,2020-11-8,3,1115910497,1,0.001448490316
tzt1rAkoCySH2vbtIf_0g6Hgs-gA2j0NQQKvEyJ74X0,2020-7-20,4,1159262321,2,0.000091860933
8QJJnpwNbpRg74BLJW5ft6PlJX-0kV_kxXwH7G00njY,2020-7-20,4,1445465844,1,0.00006563111900000001
Hz0Fr0xZjzeVpXg8RpelqlWpeYZmjiskP7x4FVy9hz0,2021-3-6,3,2446816,3,0.0015446132430000001
UPaaKI547tre-lAG6wHWSGUl7aAcY1csuwPf8qh4tdE,2021-3-18,2,1124560512,1,0.000018975926
YNXE49gTG2O1gCf_mK6mVnF_eYiupsxvRo5kQWr-0do,2021-3-5,3,1153863897,2,0.000022294732
beYR_NqN2BhTmWWPgWC4ycCgCVx_kwci0RV04-sWEO4,2021-3-9,2,1124541339,1,0.000006919944
I4S4FxuAKAfidT1BLVya_JEvGiIFgxKEy8My-c-giYo,2021-3-22,2,1325612379,1,0.000677093097
0cFGQBBSnX3x_gBTPY2wtv4pEqJnL-inGKKuXSMCU_Y,2021-3-16,3,4554855,3,0.0028701481660000005
vPKUc5ASvvPeZOwvPeZE8pfcHhBYiUsipeLWCAyVySM,2021-3-20,4,1159576520,3,0.001448689804
fGWdMlEwCo8PZzYk2J7rjnFXFjIdx5iXRUocm_AAf4A,2021-3-21,1,1829009,1,0.001152099307
xc2qUMUaQ4kr9tfIhPpG9px-gOAxEvlbnQGCd07_2Ok,2021-3-22,2,1124541011,1,0.000006713697
WSw9OrPQXuBzbG68sPLaN_rPre0TMvlLvoe6q8OGnx4,2021-2-22,11,627161,11,0.00041656176099999997
EjIKe9_4jN3bqjV1HEWUVDL84XDDPk0XAEE57FuySDs,2021-3-1,6,92412106,6,0.05812084293800001
9rDKbG-hY4E-kgU4rTxLDzGqDEFZs5nck1oVz7fulHc,2021-3-23,1,8411,1,0.000007307284
1K37-4G6vr0twD5mHDnDJ6dzsg7tOda5EDk_4Nsy3uI,2017-12-19,16,880052,16,0.000585671858
UPlwODrHSxq3RFoyb6O7CVzV_hKvdZShoXQJszeTFf0,2021-3-1,4,15819273,4,0.009955232651999999
1YKmN9srKhsRBcA-VuzWvLS5WsKY4rxr96Fwxcr5ocI,2021-3-23,2,286669,2,0.000184294363
t8i_MHAPl-mwDSthhyBAwGWGrI-_foX5SZV_h9f6Vrc,2015-12-19,33,1183727606,1,0.748915494412
eYX52kjrYDJmC4DmaSy5qvJrigfYxfvgOkRl9HdCy9E,2018-7-13,1,5141817,1,0.003235192977
eo3ed2rr9jqju7Lao8kf-onnpeWE_j8xcLmdxbFDgPo,2021-3-21,1,632469,1,0.000399714955
cqFb1rG_Zf3v_26ZDqkv_hTlr-iIMskOUDz1vIjqgio,2021-3-21,1,424188,1,0.000268747862
J_Sk2DwQV5TgfRoqmwSHjV86vrF6YF-d6Nea04B1y94,2021-3-22,1,183076,1,0.000117136636
NEB_b_FIlb1Y3h6cnTtIJfHEEvAorqN1ro4rAYwyzS4,2021-3-20,1,3580049,1,0.002253153259
F60gLylf39_gKrUdqGGFrB8SGHUoI6SZCojil64vjcM,2021-1-16,1,12116,1,0.000009636988
VAZ5LiwPhEjIL7HCpWgofqFwhGOWne1EW4JIsK2wnew,2021-2-19,3,160936,0,0.000116590208
J3vCwzjmVCuJKde03aI7XCRBsJ-rzSD16L1RelriAIg,2021-3-18,3,1153885125,2,0.000035964105
G2p6qraLOEiTzAtFQedhyDt7u9ffUUSUoZmZqlacpRw,2020-8-2,2,32025590,0,0.021043722624
DZOeoAuUXuU8JT7yV2RU-5FndHVOQFEyKdNBov7XZk4,2021-3-7,3,10702977,1,0.0067505792339999995
vU0rVMVJ_DkhzH9thSdZ6ruT1UMnUqPIKQhN100zndw,2020-10-14,1,101446,0,0.000073811059
j_eOHp5yoSnLsCDE9pp8UtW9PMy6KJphIAHll6RTmik,2021-3-3,3,61549,2,0.000047983726000000004
Bp0ZKhBaT2hVxGwe4btpCWfWk0oUrMgmhYbGgfXjsPY,2019-11-5,1,541597,0,0.000375472828
FgqixQSdScWmFY4O3dvm04e-DGM0Z8bWyyW-pDmbyGk,2020-9-11,2,11605905,2,0.007301829959
I1trB2wjtfggJsywry2GTesjG_83RWbUPZ3ytXyYprk,2018-7-21,2,2727905,1,0.001877633164
B9E6W3w3HWsGT-05i4L_skgqXooFDU6VmAvJT_XOvbM,2021-3-21,1,557633,1,0.000354004101
17_ONZaHUU7-xMIRG7I9E8TpsA-n5pwvjiQI20ldcaw,2021-3-21,1,266144,1,0.000170016244
_Z4NaIVgKZ45C2I1OwjJ2H1komH6VRXBM5BgWGeVhQo,2021-3-21,1,433767,1,0.000275819882
QVtKyv1jDcD2dqTQrNdYvjaFnsBRBd_kRz6Afm_JjZI,2020-7-12,1,1295988,0,0.000895594531
_DrdJK5PvQ5HMNSvXd9X00B4mmXKQGHMajHW4hOXcPI,2021-3-21,1,274459,1,0.000175264672
TEHjbg0NBCTOx49dbFOyL7v-ljT3LykMtsG4lGEfERs,2020-10-28,3,2145512180,0,0.000122403566
BF8-WpB8Ad4vu83CKiWeFY2Br8Si2mDOTlHaXA71Qx0,2020-9-11,1,990210,1,0.000627046704
AOBGdOQtOk3MjGG2VGsWMJzlZPr0f9CMeUDX5hIQC9k,2021-2-22,1,13375,1,0.000010468452
QYkc2eF_bL66_6lZDILH1tJiqqIadWuqasDN99N_KFY,2021-3-17,1,17650,1,0.000013166832
73JmD246_J2wNOU-JKm05KqFBwrT-sqUq2w1u8kbE9U,2021-3-18,3,8023619,2,0.005076277828
rQXT5hF4Gibe4ABm-Z-_xxADTWoD7yhlQoN6u-t0jUM,2021-3-21,2,548918,2,0.000350529344
B_1nG7oet6WaUF0JUW6s4cs9rAcWeXRG2aYucW7XoyY,2021-3-21,2,338650,2,0.000217808184
aPptIV4y-PbOx_KmMdVWGGbmD9zE2eND5Y1C4y76IjU,2021-3-14,2,1634674,2,0.001035858532
oXPkFpvvpI0EDdbBUVz1sOEf8LAcx7pZqTduB70jEvo,2020-9-10,21,72906153,9,0.046793742602999996
OvNZGr0rBqYpicHpEnMefh0RsqMLzHCxyc7_YL3aPwk,2021-3-19,1,612092,1,0.000389855347
3zUmZW3zfQAU1OfZ2xu6cqSqb5UO1tnuxc5E4flxUyw,2021-3-16,1,320315,1,0.00020498544
_MfW7OiCQxmPQiybWtqDjw32-YTubwYyF4f2xlZZu_w,2021-2-28,1,225,1,0.000002176416
31Rwh9cKkyOnqQWRdZFS8FHXh2P_PwRSe53LhbiwnNM,2021-2-28,1,38078,1,0.000026160076
Q8KAGGYdBydiFnI8Gvvc_BOKBu_LNlMbVuKkkbBmSRw,2021-3-18,1,62362,1,0.000041546419
24RmjjiCSeqvPzzJS34ZtyY5wa8CWTmxSaXdZikG924,2020-12-17,1,444,1,0.000002315174
lWIaB_Bp_yz5_V2XwXFUnAz16LGwWRG-GwaCrtpZV6c,2021-2-27,1,35011,1,0.000024216825
3tk99eSNusKGKiji9ndW158gtkj6RurInI5GElVcT2k,2021-3-7,1,47616,1,0.000032203353
vtzlrMZKYm1j6_PEkq7UXN2RKC1Wr4iButbwUwSXE9I,2021-3-18,1,36538,1,0.000025184332
